iter	RMSE
0	68572.52256
1	66711.12506
2	64793.3543
3	63000.71332
4	61214.20358
5	59672.75707
6	58092.26084
7	56537.83971
8	55051.37019
9	53826.33216
10	52617.2042
11	51354.00711
12	50324.70737
13	49265.15598
14	48197.87041
15	47142.9658
16	46134.91907
17	45215.5948
18	44305.35256
19	43505.88835
20	42675.37245
21	41891.32662
22	41111.25355
23	40294.02129
24	39548.60907
25	38847.95723
26	38213.19253
27	37587.58739
28	37149.15446
29	36556.24918
30	36104.1379
31	35552.82432
32	35062.8873
33	34664.76486
34	34233.97542
35	33808.8881
36	33386.75334
37	32978.09838
38	32600.313
39	32234.03218
40	31869.44483
41	31519.43731
42	31179.75866
43	30853.66285
44	30591.35145
45	30309.44875
46	30088.26597
47	29812.69989
48	29571.76628
49	29345.31436
50	29131.01524
51	28927.95151
52	28724.58293
53	28524.86393
54	28335.78282
55	28156.79645
56	27968.3363
57	27812.73113
58	27654.82445
59	27511.98465
60	27353.69661
61	27194.92732
62	27073.82609
63	26955.94215
64	26815.21761
65	26687.69012
66	26558.0378
67	26459.06281
68	26339.11172
69	26234.61538
70	26130.5907
71	26004.39728
72	25873.52645
73	25774.9587
74	25688.48593
75	25628.16133
76	25536.49462
77	25449.51098
78	25365.34954
79	25261.21102
80	25191.78798
81	25106.55867
82	25016.51835
83	24961.31082
84	24899.59551
85	24827.46528
86	24764.28868
87	24701.10701
88	24645.48661
89	24593.25529
90	24526.00503
91	24474.9924
92	24416.5533
93	24369.00982
94	24306.63591
95	24261.33665
96	24207.86092
97	24141.44344
98	24097.59296
99	24047.35224
100	24003.93856
101	23953.41992
102	23916.49474
103	23854.13696
104	23807.49431
105	23762.98244
106	23722.47661
107	23666.78543
108	23610.47546
109	23556.88307
110	23508.13038
111	23442.13867
112	23403.77463
113	23362.36874
114	23299.38599
115	23244.39311
116	23214.21896
117	23176.0102
118	23144.86294
119	23103.10534
120	23073.58437
121	23035.06511
122	23007.09796
123	22965.038
124	22921.3507
125	22885.8796
126	22854.12551
127	22801.74675
128	22770.37918
