iter	Passed	Remaining
0	1	170
1	2	138
2	3	125
3	5	125
4	6	122
5	7	123
6	9	120
7	10	117
8	11	116
9	12	114
10	13	112
11	15	110
12	17	117
13	18	115
14	19	113
15	21	110
16	22	108
17	23	106
18	24	104
19	25	102
20	26	101
21	28	99
22	29	97
23	30	95
24	31	95
25	32	93
26	34	92
27	35	91
28	36	89
29	37	87
30	38	86
31	39	84
32	40	82
33	41	81
34	42	79
35	43	77
36	44	76
37	45	74
38	46	73
39	48	72
40	49	70
41	49	68
42	50	67
43	51	66
44	52	64
45	53	63
46	54	61
47	55	60
48	56	59
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	50
56	64	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	79	35
69	80	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
